state,x,y
Andhra Pradesh,82,16
Arunachal Pradesh,94,28
Assam,91,26
Bihar,85,25
Chhattisgarh,81,21
Goa,74,15
Gujarat,72,22
Haryana,76,29
Himachal Pradesh,77,32
Jharkhand,85,23
Karnataka,76,12
Kerala,76,10
Madhya Pradesh,77,23
Maharashtra,75,19
Manipur,94,25
Meghalaya,91,25
Mizoram,92,23
Nagaland,94,26
Odisha,85,20
Punjab,75,31
Rajasthan,74,27
Sikkim,88,27
Tamil Nadu,79,10
Telangana,79,17
Tripura,91,24
Uttar Pradesh,80,27
Uttarakhand,79,30
West Bengal,88,22
Andaman and Nicobar Islands,93,11
Chandigarh,76,30
Dadra and Nagar Haveli and Daman and Diu,72,20
Lakshadweep,73,11
Delhi,77,28
Puducherry,79,12
Ladakh,77,34
Jammu and Kashmir,75,34
